Line Numbers,"Ca Elemental Percents""",Mg Elemental Percents,Sr Elemental Percents,Fe Elemental Percents,Mn Elemental Percents,S  Elemental Percents,,CaO Oxide Percents,MgO Oxide Percents,SrO Oxide Percents,FeO Oxide Percents,MnO Oxide Percents,SO3 Oxide Percents,Ca Atomic Percents,Mg Atomic Percents,Sr Atomic Percents,Fe Atomic Percents,Mn Atomic Percents,S  Atomic Percents,Ca Formula Atoms,Mg Formula Atoms,Sr Formula Atoms,Fe Formula Atoms,Mn Formula Atoms,S  Formula Atoms,Elemental Totals,Oxide Totals,Atomic Totals,Formula Totals,,Ca Detection Limits,Mg Detection Limits,Sr Detection Limits,Fe Detection Limits,Mn Detection Limits,S  Detection Limits,Ca Percent Errors,Mg Percent Errors,Sr Percent Errors,Fe Percent Errors,Mn Percent Errors,S  Percent Errors
139,21.853,13.187,0.000,0.459,0.113,0.015,,30.57725,21.868435,0,0.59001,0.146418,0.037281,10.489523,10.438164,0,0.157985,0.039708,0.008958,0.527749,0.525165,0,0.007949,0.001998,0.000451,97.229401,97.229401,100,5.031205,,0.01602,0.026767,0.057588,0.030138,0.027,0.009987,0.34555,0.519131,-151.2876,4.30483,12.91,34.066628
140,21.769,13.073,0.000,0.348,0.156,0.011,,30.45989,21.67881,0,0.447077,0.200835,0.027782,10.482566,10.380633,0,0.120094,0.05464,0.006697,0.527148,0.522022,0,0.006039,0.002748,0.000337,96.824394,96.824402,100,5.028811,,0.016102,0.027096,0.057877,0.029757,0.028,0.009879,0.346214,0.521582,-70.04727,5.29949,9.90,44.442677
141,21.861,13.074,0.010,0.394,0.132,0.013,,30.588556,21.680799,0.011775,0.506987,0.170469,0.032663,10.51473,10.369637,0.002191,0.13603,0.046325,0.007864,0.528854,0.521556,0.00011,0.006842,0.00233,0.000396,97.001251,97.001251,99.999992,5.029648,,0.016147,0.026887,0.053909,0.029802,0.028,0.01033,0.345599,0.521667,258.99408,4.807592,11.48,39.694611
142,21.861,13.060,0.009,0.251,0.123,0.005,,30.588076,21.657499,0.010399,0.323241,0.158414,0.011479,10.530223,10.373918,0.001938,0.086858,0.043113,0.002768,0.529551,0.521691,0.000097,0.004368,0.002168,0.000139,96.759109,96.759109,100,5.028868,,0.015821,0.02779,0.055568,0.03054,0.027,0.010643,0.345446,0.52216,301.542145,7.010203,12.08,111.58461
143,21.693,13.062,0.031,0.325,0.155,0.012,,30.352484,21.660675,0.036542,0.418603,0.199743,0.030228,10.45514,10.381418,0.006812,0.112548,0.054392,0.007293,0.525686,0.52198,0.000343,0.005659,0.002735,0.000367,96.708267,96.708275,100,5.028018,,0.016043,0.026977,0.056039,0.030186,0.028,0.010023,0.346832,0.521665,89.066223,5.631823,10.07,41.572903
144,21.761,13.194,0.068,0.299,0.098,0.010,,30.447832,21.880001,0.080796,0.384963,0.126845,0.023904,10.464069,10.462625,0.015028,0.103267,0.034463,0.005754,0.526343,0.526271,0.000756,0.005194,0.001733,0.000289,96.954346,96.954346,99.999985,5.030004,,0.016715,0.02645,0.050939,0.031082,0.028,0.010063,0.346501,0.518447,38.956078,6.137803,14.74,52.105488
Un   21  MD6_258_6_E1_S1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,21.771,13.228,0.007,0.318,0.098,0.004,,30.462004,21.936493,0.008746,0.409063,0.126796,0.008817,10.46524,10.485932,0.001626,0.109693,0.034437,0.002122,0.526464,0.527505,0.000082,0.005518,0.001732,0.000107,96.961929,96.961914,100,5.030597,,0.01648,0.026873,0.053367,0.030107,0.028,0.010705,0.346281,0.517945,343.973938,5.727784,15.15,145.348785
146,20.254,11.919,0.028,0.356,0.062,0.015,,28.339588,19.765591,0.033116,0.458137,0.080628,0.037821,10.088739,9.790441,0.00638,0.127303,0.022691,0.009431,0.50451,0.489593,0.000319,0.006366,0.001135,0.000472,92.724884,92.724884,100,5.000726,,0.016419,0.026182,0.060063,0.029536,0.027,0.010389,0.359319,0.547068,104.452393,5.177386,22.31,34.774864
147,19.102,11.621,0.000,0.250,0.063,0.007,,26.728113,19.270567,0,0.32184,0.08181,0.017749,9.684111,9.714827,0,0.091019,0.023433,0.004504,0.482888,0.48442,0,0.004539,0.001168,0.000225,90.430084,90.430077,100.000008,4.986395,,0.015805,0.02514,0.062179,0.029829,0.028,0.009866,0.370216,0.553449,-148.49068,6.929049,22.05,68.043732
148,21.455,12.579,0.003,1.468,0.100,0.006,,30.020222,20.859461,0.00394,1.88906,0.128857,0.015389,10.368818,10.024611,0.000736,0.509285,0.035185,0.003723,0.521148,0.503847,0.000037,0.025597,0.001768,0.000187,96.926926,96.926926,100.000008,5.026105,,0.017046,0.026785,0.056462,0.030725,0.027,0.01048,0.348798,0.534155,802.566284,1.939221,14.50,82.635696
149,21.755,13.073,0.006,0.399,0.129,0.006,,30.439907,21.678631,0.007592,0.513071,0.166744,0.015273,10.476343,10.381195,0.001414,0.13783,0.045368,0.003682,0.526857,0.522072,0.000071,0.006931,0.002282,0.000185,96.831215,96.831223,99.999992,5.029014,,0.016189,0.027017,0.057212,0.030867,0.028,0.010785,0.346556,0.521889,423.686981,4.857757,11.66,85.531403
150,21.584,13.337,0.000,0.266,0.030,0.013,,30.199923,22.116512,0,0.342551,0.038141,0.033123,10.382644,10.579566,0,0.091923,0.010366,0.007976,0.522197,0.532102,0,0.004623,0.000521,0.000401,96.74025,96.74025,100,5.029521,,0.015909,0.026132,0.058764,0.029408,0.029,0.009964,0.347915,0.515235,-107.29801,6.520213,47.89,37.96376
151,20.401,12.641,0.000,0.554,0.074,0.006,,28.545689,20.961857,0,0.712707,0.095285,0.015734,10.017185,10.23491,0,0.195216,0.026434,0.003867,0.50217,0.513085,0,0.009786,0.001325,0.000194,94.34127,94.341263,99.999992,5.013086,,0.016092,0.026127,0.055231,0.030601,0.028,0.01007,0.357899,0.530402,-184.7561,3.765771,19.42,77.905884
